Neighborhood	Average Rent
Marble Hill	1708
Washington Heights	2193
Inwood	2373
Randalls and Wards Islands	2415
Harlem	2747
East Harlem	2780
Roosevelt Island	3396
Stuyvesant Town	3627
Tudor City	3906
Liberty Island	3957
Governors Island	3957
Ellis Island	3957
Turtle Bay	4046
Financial District	4052
Central Park South	4073
Central Midtown	4075
Clinton - Hell's Kitchen	4084
Theatre District - Times Square	4084
Sutton Place	4096
Lenox Hill	4141
Murray Hill	4147
Kips Bay	4179
Peter Cooper Village	4190
East Village	4231
Gramercy Park	4246
Morningside Heights	4254
Flatiron District	4256
NoMad	4260
Civic Center	4272
Yorkville	4296
Carnegie Hill	4296
NoHo	4300
Koreatown	4319
Garment District	4319
Greenwich Village	4329
Meatpacking District	4356
Chelsea	4402
Two Bridges	4410
Hudson Yards	4461
Manhattan Valley	4499
West Village	4561
Upper West Side	4664
Lower East Side	4744
Lincoln Square	4924
Hudson Square	5056
Chinatown	5174
SoHo	5344
NoLIta	5344
Battery Park City	5530
TriBeCa	5655
Little Italy	5655