RegionName,City,State,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Flatiron District,New York,NY,2750.0,2889.0,3000.0,3118.5,3290.0,3250.0,3150.0,3200.0,3275.0,3262.5,3300.0,3200.0,3300.0,3300.0,3280.0,3267.0,3300.0,3395.0,3495.0,3400.0,3395.0,3395.0,3395.0,3400.0,3390.0,3300.0,3400.0,3400.0,3400.0,3450.0,3450.0,3500.0,3595.0,3550.0,3550.0,3550.0,3595.0,3540.0,3500.0,3500.0,3635.0,3600.0,3800.0,3850.0,3888.0,3815.0,3835.0,3941.0,3965.0,3952.5,3955.0,3995.0,3950.0,3975.0,3995.0,4000.0,3950.0,3946.0,3850.0,3950.0,3915.0,3947.0,3950.0,3870.0,3925.0,3795.0,3700.0,3850.0,3795.0,3850.0,3820.0,3785.0,3842.5,3892.5,3957.5,3995.0,3994.0,3957.0,3967.0,4000.0,3950.0,3939.0,3932.0,3961.0,3969.0,3950.0,4000.0,4000.0,4093.5,4150.0,4045.0,4005.0,3991.0,3995.0,3950.0,4000.0,4060.0,4080.0,4200.0,4197.0,4290.0,4250.0,4290.0,4295.0,4250.0
West Village,New York,NY,2872.5,3050.0,2895.0,3030.0,3150.0,3192.5,3000.0,3072.5,3000.0,3095.0,3000.0,3150.0,3200.0,3195.0,3200.0,3200.0,3300.0,3350.0,3450.0,3350.0,3500.0,3500.0,3495.0,3495.0,3495.0,3400.0,3395.0,3300.0,3400.0,3495.0,3495.0,3495.0,3500.0,3500.0,3550.0,3597.5,3600.0,3600.0,3600.0,3600.0,3695.0,3600.0,3500.0,3500.0,3495.0,3500.0,3501.5,3500.0,3550.0,3595.0,3600.0,3650.0,3595.0,3595.0,3550.0,3695.0,3600.0,3550.0,3503.0,3550.0,3600.0,3600.0,3635.0,3500.0,3550.0,3503.0,3650.0,3600.0,3500.0,3500.0,3500.0,3425.0,3600.0,3550.0,3595.0,3500.0,3600.0,3695.0,3695.0,3600.0,3600.0,3550.0,3450.0,3495.0,3500.0,3501.5,3595.0,3550.0,3600.0,3503.0,3595.0,3500.0,3672.5,3625.0,3500.0,3500.0,3500.0,3500.0,3550.0,3595.0,3550.0,3663.0,3669.5,3600.0,3600.0
Brooklyn Heights,New York,NY,2894.606796116505,2894.606796116505,2400.0,2300.0,2300.0,2501.0,2500.0,2501.0,2635.0,2650.0,2695.0,2700.0,2700.0,2700.0,2764.0,2750.0,2600.0,2600.0,2600.0,2550.0,2600.0,2700.0,2750.0,2765.0,2775.0,2900.0,2900.0,2900.0,2900.0,2895.0,2925.0,2950.0,3000.0,3000.0,2950.0,2950.0,2800.0,2800.0,2800.0,2800.0,2850.0,2800.0,2900.0,2950.0,3100.0,3075.0,2750.0,2800.0,2825.0,2750.0,2750.0,2812.5,3100.0,3000.0,2900.0,2950.0,3000.0,3000.0,3000.0,3100.0,3085.0,3000.0,2972.5,2812.5,2999.5,3000.0,2950.0,2800.0,3200.0,3100.0,2750.0,2750.0,2800.0,2897.5,2900.0,3000.0,2998.5,3000.0,2995.0,3000.0,3010.0,3020.0,3000.0,3005.0,2996.0,3000.0,2900.0,2861.0,2950.0,2998.5,3000.0,3100.0,2997.0,3020.0,3075.0,3212.0,3183.0,3000.0,3214.0,3251.0,3200.0,3143.0,3292.0,3388.0,3400.0
Sutton Place,New York,NY,2350.0,2400.0,2590.0,2500.0,2610.0,2572.5,2550.0,2800.0,2600.0,2900.0,2900.0,2800.0,2800.0,2800.0,2887.5,2900.0,2800.0,2800.0,2900.0,2880.0,2900.0,2950.0,2900.0,2850.0,2850.0,2900.0,2962.5,2995.0,2975.0,2900.0,2895.0,2880.0,3100.0,3100.0,3070.0,3175.0,3195.0,3175.0,3100.0,3000.0,2900.0,3000.0,3350.0,3200.0,3300.0,3350.0,3350.0,3300.0,3300.0,3350.0,3360.0,3395.0,3300.0,3360.0,3360.0,3300.0,3350.0,3300.0,3295.0,3300.0,3350.0,3300.0,3360.0,3372.5,3350.0,3300.0,3300.0,3250.0,3262.5,3300.0,3300.0,3297.5,3300.0,3300.0,3350.0,3325.0,3395.0,3370.0,3300.0,3200.0,3323.0,3300.0,3275.0,3295.5,3300.0,3350.0,3300.0,3350.0,3300.0,3295.0,3300.0,3197.5,3200.0,3250.0,3400.0,3485.0,3400.0,3450.0,3497.5,3525.0,3500.0,3385.0,3300.0,3300.0,3300.0
Columbus Circle,New York,NY,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3365.483695652174,3000.0,3095.0,3115.0,3140.0,3145.0,3195.0,3198.0,3200.0,3258.0,3300.0,3250.0,3210.0,3200.0,3200.0,3214.0,3226.0,3295.0,3275.0,3278.0,3250.0,3200.0,3200.0,3185.0,3165.0,3150.0,3158.0,3195.0,3279.0,3331.5,3600.0,3595.0,3600.0,3495.0,3495.0,3495.0,3500.0,3500.0,3495.0,3564.5,3502.0,3522.0,3550.0,3519.0,3522.0,3495.0,3479.0,3475.5,3400.0,3460.0,3415.0,3400.0,3439.0,3469.0,3372.5,3450.0,3442.0,3419.5,3379.0,3421.0,3400.0,3400.0,3396.5,3400.0,3495.0,3503.0,3495.0,3470.0,3470.0,3445.0,3426.5,3386.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0,3379.0
Tribeca,New York,NY,4168.862745098039,4168.862745098039,4168.862745098039,3785.0,3700.0,3753.0,3650.0,3597.5,3495.0,3395.0,3782.5,3750.0,3995.0,3995.0,3995.0,3950.0,3800.0,3800.0,3797.5,3895.0,3800.0,3767.5,3700.0,3905.0,3895.0,3795.0,3800.0,3895.0,3885.0,3995.0,4025.0,4025.0,3995.0,3895.0,3895.0,3995.0,3872.5,3895.0,3895.0,3895.0,3995.0,4195.0,4395.0,4395.0,4295.0,4395.0,4312.5,4362.5,4395.0,4297.5,4295.0,4295.0,4477.5,4395.0,4485.0,4500.0,4397.5,4310.0,4337.5,4295.0,4231.0,4372.5,4435.0,4412.5,4395.0,4295.0,4300.0,4295.0,4295.0,4295.0,4295.0,4290.0,4295.0,4395.0,4412.5,4367.5,4350.0,4395.0,4450.0,4450.0,4297.5,4175.0,4125.0,4295.0,4295.0,4295.0,4297.5,4395.0,4450.0,4472.5,4325.0,4395.0,4450.0,4395.0,4295.0,4372.5,4450.0,4350.0,4395.0,4397.5,4495.0,4495.0,4595.0,4410.0,4495.0
Turtle Bay,New York,NY,3053.1634615384614,2797.5,2750.0,2750.0,2750.0,2750.0,2800.0,2800.0,2850.0,2862.5,2950.0,2900.0,2800.0,2795.0,2795.0,2800.0,2800.0,2750.0,2800.0,2800.0,2750.0,2850.0,2900.0,2900.0,2900.0,2900.0,2895.0,2900.0,2900.0,2900.0,2937.5,2950.0,2900.0,2970.0,2900.0,2900.0,2900.0,2975.0,3000.0,3000.0,3000.0,3100.0,3200.0,3295.0,3197.5,3050.0,3200.0,3200.0,3200.0,3250.0,3300.0,3400.0,3225.0,3285.0,3100.0,3200.0,3100.0,3197.5,3200.0,3250.0,3200.0,3200.0,3197.5,3200.0,3200.0,3197.5,3197.5,3050.0,3200.0,3100.0,3082.5,3037.5,3050.0,3025.0,3100.0,3200.0,3250.0,3272.5,3100.0,2995.0,3081.5,3137.5,3000.0,3070.0,3000.0,3070.0,3060.0,3050.0,3195.0,3195.0,3195.0,3200.0,3200.0,3195.0,3175.0,3070.0,3095.0,3200.0,3295.0,3272.5,3295.0,3295.0,3350.0,3300.0,3200.0
Midtown,New York,NY,2695.0,2500.0,2800.0,2800.0,2897.5,2950.0,2990.0,2995.0,3000.0,3100.0,3194.5,3095.0,3090.0,3150.0,3100.0,3100.0,3150.0,3195.0,3195.0,3200.0,3195.0,3221.0,3300.0,3295.0,3300.0,3238.0,3282.5,3300.0,3300.0,3300.0,3390.0,3295.0,3300.0,3250.0,3292.5,3300.0,3250.0,3300.0,3299.5,3295.0,3300.0,3390.0,3600.0,3595.0,3600.0,3590.5,3593.0,3595.0,3550.0,3595.0,3550.0,3544.0,3500.0,3500.0,3500.0,3556.5,3550.0,3500.0,3500.0,3495.0,3492.5,3490.5,3495.0,3500.0,3495.0,3500.0,3495.0,3495.0,3495.0,3469.0,3452.0,3450.0,3450.0,3454.0,3453.0,3456.0,3500.0,3500.0,3490.5,3500.0,3500.0,3495.0,3467.0,3434.0,3451.0,3495.0,3495.0,3467.0,3495.0,3500.0,3500.0,3500.0,3500.0,3512.0,3495.0,3495.0,3495.0,3500.0,3563.0,3595.0,3595.0,3595.0,3595.0,3595.0,3595.0
Tudor City,New York,NY,3029.264705882353,3029.264705882353,3029.264705882353,2700.0,2700.0,2700.0,2800.0,2782.5,2800.0,2795.0,2800.0,2750.0,2800.0,2849.0,2800.0,2800.0,2800.0,2895.0,2900.0,2900.0,2900.0,2900.0,2900.0,2895.0,2800.0,2750.0,2800.0,2799.0,2750.0,2800.0,2850.0,2900.0,2900.0,2895.0,2850.0,2850.0,2895.0,2895.0,2895.0,2900.0,2900.0,2995.0,3197.5,3295.0,3100.0,3075.0,3150.0,3100.0,3195.0,3252.0,3295.0,3150.0,3100.0,3150.0,3225.5,3350.0,3150.0,3100.0,3225.5,3172.5,3125.0,3125.0,3150.0,3150.0,3172.5,3125.0,3000.0,3050.0,3195.0,2995.0,2992.5,2900.0,2800.0,2900.0,3000.0,3085.0,3100.0,3050.0,3000.0,3000.0,2895.0,2995.0,3025.0,3000.0,2995.0,3025.0,3050.0,3100.0,3297.5,3440.0,3450.0,3357.5,3250.0,3320.5,3300.0,3416.0,3300.0,3144.5,3225.5,3100.0,3210.0,3350.0,3350.0,3300.0,3300.0
Battery Park,New York,NY,3674.5485436893205,3674.5485436893205,3000.0,3050.0,3100.0,3057.5,3250.0,3295.0,3300.0,3295.0,3350.0,3362.5,3395.0,3400.0,3285.0,3325.0,3350.0,3450.0,3550.0,3480.0,3500.0,3500.0,3500.0,3475.0,3400.0,3400.0,3425.0,3400.0,3480.0,3510.0,3500.0,3545.0,3575.0,3500.0,3495.0,3485.0,3495.0,3475.0,3425.0,3400.0,3450.0,3490.0,3730.0,3837.5,3942.5,3850.0,3850.0,3837.5,3745.0,3882.5,3900.0,3930.0,4000.0,4000.0,3962.5,3860.0,3995.0,3995.0,3950.0,3850.0,3850.0,3850.0,3895.0,3860.0,3900.0,3935.0,3850.0,3860.0,3775.0,3850.0,3850.0,3785.0,3850.0,3850.0,3825.0,3812.5,3825.0,3820.0,3760.0,3665.0,3600.0,3645.0,3598.0,3690.0,3677.5,3775.0,3775.0,3870.0,3750.0,3850.0,3950.0,3935.0,3870.0,3832.5,3860.0,3832.5,3821.0,3917.5,3933.5,4000.0,3985.0,4000.0,3955.0,3951.0,3900.0
SoHo,New York,NY,2372.5,2350.0,2372.5,2400.0,2400.0,2500.0,2500.0,2500.0,2500.0,2600.0,2750.0,2900.0,2900.0,2795.0,2712.5,2700.0,2785.0,2850.0,2795.0,2700.0,2695.0,2750.0,2750.0,2712.5,2700.0,2700.0,2725.0,2700.0,2675.0,2695.0,2695.0,2750.0,2772.5,2795.0,2800.0,2695.0,2700.0,2700.0,2700.0,2750.0,2700.0,2800.0,2950.0,2895.0,2910.0,3028.0,3000.0,3000.0,3000.0,3000.0,3028.0,2912.5,2995.0,3000.0,3195.0,3000.0,3110.0,3200.0,3095.0,3095.0,3195.0,3000.0,3195.0,3195.0,3000.0,3000.0,2950.0,2850.0,2950.0,2972.5,2950.0,2875.0,2972.5,3000.0,3012.5,3200.0,3050.0,3025.0,3000.0,2995.0,2972.5,2950.0,2872.5,2800.0,2950.0,3000.0,3000.0,3250.0,3000.0,3000.0,3107.5,3105.0,3195.0,3200.0,3095.0,2950.0,3168.0,2995.0,3000.0,3200.0,3197.5,3195.0,3133.0,3145.0,3225.0
Little Italy,New York,NY,3205.0721649484535,3205.0721649484535,3205.0721649484535,3205.0721649484535,3205.0721649484535,3205.0721649484535,3205.0721649484535,3205.0721649484535,3000.0,3047.5,2895.0,3097.5,3240.0,3099.0,3100.0,3100.0,3292.5,3245.0,3172.5,3095.0,2975.0,3100.0,3340.0,3372.5,3300.0,3300.0,3366.5,3295.0,3250.0,3295.0,3295.0,3295.0,3300.0,3350.0,3395.0,3300.0,3285.0,3250.0,3250.0,3200.0,3200.0,3295.0,3300.0,3350.0,3350.0,3285.0,3295.0,3295.0,3295.0,3295.0,3350.0,3350.0,3250.0,3200.0,3199.5,3199.0,3199.0,3199.0,3199.0,3199.0,3199.0,3199.0,3200.0,3199.0,3199.0,3200.0,3199.0,3200.0,3197.0,3199.0,3000.0,3199.0,3150.0,3199.0,3112.0,3195.0,3199.0,3000.0,3095.0,3199.0,3100.0,3075.0,3147.5,3199.0,3125.0,3100.0,3174.5,3025.0,3199.0,3199.5,3150.0,3100.0,3097.5,3166.0,3199.0,3199.0,3199.0,3199.5,3182.0,3295.0,3275.0,3250.0,3200.0,3295.0,3199.0
Murray Hill,New York,NY,3249.5242718446602,3249.5242718446602,2700.0,2700.0,2800.0,2700.0,2800.0,2800.0,2800.0,2800.0,2900.0,2900.0,2900.0,3000.0,2995.0,3000.0,3050.0,3050.0,3075.0,3050.0,3095.0,3000.0,3000.0,3000.0,3000.0,3050.0,3050.0,3100.0,3100.0,3100.0,3100.0,3150.0,3155.5,3200.0,3195.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3300.0,3400.0,3300.0,3300.0,3350.0,3300.0,3300.0,3350.0,3395.0,3382.5,3437.5,3500.0,3462.0,3650.0,3521.0,3450.0,3375.0,3325.0,3300.0,3375.0,3400.0,3395.0,3400.0,3400.0,3412.5,3370.0,3395.0,3400.0,3300.0,3300.0,3350.0,3300.0,3400.0,3400.0,3400.0,3450.0,3500.0,3437.5,3450.0,3400.0,3300.0,3350.0,3350.0,3325.0,3400.0,3370.0,3400.0,3400.0,3450.0,3495.0,3450.0,3450.0,3472.5,3450.0,3450.0,3450.0,3400.0,3425.0,3400.0,3370.0,3370.0,3425.0,3400.0
NoHo,New York,NY,3810.04,3810.04,3810.04,3810.04,3810.04,3100.0,3095.0,3495.0,3647.5,3625.0,3600.0,3550.0,3500.0,3550.0,3550.0,3612.5,3790.0,3750.0,3592.5,3650.0,3695.0,3650.0,3650.0,3600.0,3650.0,3695.0,3650.0,3672.5,3695.0,3750.0,3795.0,3795.0,3899.0,3850.0,3795.0,3750.0,3750.0,3775.0,3795.0,3795.0,3850.0,3995.0,3850.0,3972.5,3924.5,3924.5,4150.0,3899.0,3897.0,3899.0,3997.5,4145.0,3895.0,3795.0,3822.5,3895.0,3895.0,3995.0,3995.0,3995.0,3995.0,3899.0,3950.0,3972.5,3900.0,3897.0,3995.0,3850.0,3850.0,3795.0,3795.0,3850.0,3850.0,3850.0,3895.0,3995.0,4000.0,3897.0,3897.0,3895.0,3924.5,3795.0,3872.5,3924.5,3795.0,3822.5,3762.5,3897.0,3924.5,3850.0,3850.0,3850.0,3897.0,3850.0,3850.0,3853.0,3874.0,3850.0,3762.5,3850.0,3899.0,3822.5,3850.0,3850.0,3895.0
Garment District,New York,NY,3595.106796116505,3595.106796116505,2950.0,3300.0,3450.0,3297.5,3250.0,3315.0,3275.0,3412.5,3397.5,3380.0,3350.0,3295.0,3250.0,3225.0,3280.0,3395.0,3400.0,3355.0,3395.0,3395.0,3399.5,3397.0,3395.0,3400.0,3430.0,3400.0,3495.0,3450.0,3410.0,3495.0,3475.0,3320.0,3320.0,3335.0,3350.0,3390.0,3390.0,3380.0,3450.0,3499.0,3600.0,3650.0,3500.0,3500.0,3600.0,3669.0,3625.0,3695.0,3730.0,3862.5,3720.0,3650.0,3600.0,3795.0,3875.0,3730.0,3625.0,3600.0,3697.5,3600.0,3580.0,3650.0,3585.0,3715.5,3650.0,3560.0,3725.0,3650.0,3730.0,3750.0,3630.0,3695.0,3795.0,3795.0,3813.0,3831.0,3895.0,3895.0,3895.0,3853.0,3688.0,3646.0,3600.0,3612.5,3607.5,3596.5,3622.5,3750.0,3750.0,3740.0,3660.0,3700.5,3679.0,3660.0,3730.0,3790.0,3998.5,4500.0,4150.0,4056.0,4149.5,4050.0,3995.0
Central Park,New York,NY,2694.5,2595.0,2700.0,2700.0,2850.0,2850.0,2900.0,2850.0,2800.0,2900.0,2950.0,3000.0,3000.0,3000.0,2900.0,2900.0,2800.0,2850.0,2895.0,2900.0,3115.0,3000.0,3085.0,3100.0,3100.0,3000.0,3190.0,3100.0,3100.0,3095.0,3000.0,3000.0,3100.0,3137.5,3100.0,3100.0,3200.0,3195.0,3200.0,3200.0,3172.5,3175.0,2822.5,3034.5,3034.5,2950.0,2972.5,2995.0,3074.0,3200.0,3250.0,3200.0,3074.0,3034.5,3074.0,3074.0,3200.0,3200.0,3200.0,3137.0,3200.0,3150.0,3200.0,3200.0,3200.0,3200.0,3187.5,3200.0,3200.0,3074.0,3200.0,3200.0,3200.0,3034.5,3074.0,3137.0,3200.0,3137.0,3074.0,3200.0,3200.0,3200.0,3074.0,3074.0,3034.5,3200.0,3200.0,3137.0,3200.0,3200.0,3200.0,3137.0,3200.0,3200.0,3137.0,3200.0,3200.0,3200.0,3200.0,3200.0,3225.0,3200.0,3200.0,3200.0,3200.0
